Time	ShoulderCenter - Head - Spine	Spine - ShoulderCenter - HipCenter	ElbowRight - WristRight - ShoulderRight	ShoulderRight - ShoulderCenter - ElbowRight	KneeRight - AnkleRight - HipRight	HipRight - HipCenter - KneeRight	ShoulderRight - ShoulderLeft - ElbowRight	ElbowLeft - WristLeft - ShoulderLeft	ShoulderLeft - ShoulderCenter - ElbowLeft	KneeLeft - AnkleLeft - HipLeft	HipLeft - HipCenter - KneeLeft	ShoulderLeft - ShoulderRight - ElbowLeft
c	c	c	c	c	c	c	c	c	c	c	c	c
m												
2.23333300	171.635778808091	138.799077671810	169.983430613483	146.836466520947	178.724128130696	133.106167035639	176.521079703628	163.801535514038	148.944461141340	176.321154098477	133.528957575269	174.866035987755
2.26666700	171.636722721679	138.749566906721	170.764360179450	146.184303365953	178.680906545658	132.941508634842	177.280787535331	164.804064869829	147.881320693095	176.323707609246	133.300505773108	175.856667419493
2.30000000	171.696482419554	138.739883888459	171.566713260978	145.336134713120	178.702823036574	132.856229552500	178.273482189348	165.284867361676	147.314699432265	176.357304037730	133.335291105634	176.408121039835
2.33333300	171.991867418475	138.729167574516	171.611826205840	144.433074374446	178.674945585486	132.869577220653	178.945419014859	165.147854758762	146.789996340806	176.331578054169	133.394891158661	177.079953870620
2.36666700	172.080336846685	138.642175068668	171.703013656940	143.723985381629	178.638511432565	132.922442280374	178.787742611982	165.509726601120	147.038293026768	176.393239121141	133.278278673012	177.351672924319
2.40000000	172.240651416093	138.593241110531	171.102290549274	143.539009805458	178.647564895743	132.906412024781	178.701075793939	166.319421072008	146.514444741821	176.450622182673	133.235359691305	177.900507302231
2.43333300	172.114638189042	138.628654453059	171.397036378837	142.887242852339	178.611023802708	132.890082772132	178.075067093528	167.311313450555	145.833272008272	176.492804420654	133.278004636739	178.381134395650
2.46666700	172.354362943908	138.627618184086	171.678680235187	142.087969843003	178.629927142031	132.881616828075	177.313883041818	164.853931494624	145.481570959520	176.452833166312	133.395408147067	178.581896410305
2.50000000	172.436601976900	138.630482480796	169.635367695777	141.422037650410	178.583700481448	132.829198926993	176.622343354749	166.024061168350	145.100763926196	176.450120433815	133.483094420725	178.636412115696
2.53333300	172.483281630259	138.654764472355	171.230876857606	140.474505818019	178.590405515848	132.781582327019	175.693765426311	166.072664179575	144.673297285235	176.487342076777	133.558829083193	178.574010491282
2.56666700	172.560042766914	138.651502088804	172.600322336150	139.821285445041	178.589872806543	132.622660075787	175.012442574617	167.104609094370	144.182804948758	176.408189264614	133.624157781922	178.266765591639
2.60000000	172.302193163702	138.703953458296	173.001340793585	139.250538128646	178.608535124261	132.360286487854	174.564956836474	167.691456393018	143.370089190590	176.358083222427	133.821089516955	177.627239689912
2.63333300	172.349717308227	138.705694837527	173.517797714665	138.898915009507	178.577058049415	132.512005936268	174.279946839852	167.828446992177	143.203881588986	176.300709078042	133.769670394674	177.414828193256
2.66666700	172.549946882159	138.701346385245	173.849900050869	138.306789421377	178.435951620075	132.631359317835	173.757202377784	166.964154548783	143.314236982656	176.160889554735	133.775325268822	177.495006666464
2.70000000	172.550629210769	138.722985990672	170.846720306221	137.845513162624	178.325631326969	132.841274558563	173.399807971076	167.368404669014	143.320583788559	176.126746049337	133.730538199570	177.540265669598
2.73333300	172.676720511953	138.734636489755	172.159058730513	137.720423708848	178.273092272002	132.882744340528	173.324656521885	167.407670026995	143.287574747355	176.127003368419	133.699632549783	177.457022183399
2.76666700	172.895772453319	138.747955741044	168.344687192377	137.490444615622	178.226285723489	133.042186909628	173.136583545654	167.667981610409	143.216283774040	176.119894356589	133.646330596905	177.382342456366
2.80000000	172.998688456172	138.762805258627	168.883718483691	137.241299470682	178.221090901522	133.103736516497	172.913124693266	167.974301224425	143.100975709282	176.072648429689	133.661995518296	177.242231848788
